model,external_key,anchor_item,value,explanation
claude-haiku-4-5,kreps2020_r1957,anchor_1st_pct_likelihood,3,"The 50% efficacy is modest and the Chinese origin raises concerns despite Biden's endorsement, making me slightly unlikely to accept it."
claude-haiku-4-5,kreps2020_r1957,anchor_25th_pct_likelihood,5,"The CDC endorsement and UK origin are reassuring factors that outweigh the modest 50% efficacy, making me slightly likely to accept it."
claude-haiku-4-5,kreps2020_r1957,anchor_50th_pct_likelihood,6,The high 90% efficacy and extremely low major side effect risk make me moderately likely to accept it despite the Chinese origin being offset by WHO endorsement.
claude-haiku-4-5,kreps2020_r1957,anchor_75th_pct_likelihood,7,"The US origin, CDC endorsement, solid 70% efficacy, and 5-year protection duration make me extremely likely to accept this vaccine."
claude-haiku-4-5,kreps2020_r1957,anchor_99th_pct_likelihood,7,"The excellent 90% efficacy, full FDA approval, minimal side effects, and 5-year protection make me extremely likely to accept this best-case scenario vaccine."
claude-haiku-4-5,kreps2020_r0000,anchor_1st_pct_likelihood,3,"The 50% efficacy is too low and the Chinese origin combined with only emergency authorization makes me hesitant, despite Biden's endorsement."
claude-haiku-4-5,kreps2020_r0000,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement increase my confidence, and while 50% efficacy isn't ideal, the safety profile and trusted source make this slightly likely."
claude-haiku-4-5,kreps2020_r0000,anchor_50th_pct_likelihood,6,"The 90% efficacy and extremely low side effect risk are compelling, and despite the Chinese origin, WHO endorsement and emergency authorization provide reassurance."
claude-haiku-4-5,kreps2020_r0000,anchor_75th_pct_likelihood,7,"US origin, 70% efficacy with 5-year protection, CDC endorsement, and low side effect rates make this highly appealing and trustworthy."
claude-haiku-4-5,kreps2020_r0000,anchor_99th_pct_likelihood,7,"Full FDA approval, 90% efficacy, 5-year duration, minimal side effects, and WHO endorsement make this the most reliable option available."
claude-haiku-4-5,kreps2020_r1848,anchor_1st_pct_likelihood,3,"The low 50% efficacy and Chinese origin concern me, though Biden's endorsement provides some reassurance as a Democrat."
claude-haiku-4-5,kreps2020_r1848,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement make this more trustworthy, and while 50% efficacy is modest, I'd lean toward acceptance."
